uuid,paper_id,title,paper_link,doi,download_link
28dfac93-db8a-4759-9711-8c84dcc78076,bd3794c777af5ba363abae5708050ea78ecc97e2,Corpus-independent Generic Keyphrase Extraction Using Word Embedding Vectors,https://www.semanticscholar.org/paper/bd3794c777af5ba363abae5708050ea78ecc97e2,,http://research.microsoft.com/en-us/um/beijing/events/DL-WSDM-2015/paper.pdf
f4757cfa-5913-4452-b2cf-45ead3177461,c3583d4636426b11ae80e74d4b169c48c8b02f9e,SemGraph: Extracting keyphrases following a novel semantic graph‐based approach,https://www.semanticscholar.org/paper/c3583d4636426b11ae80e74d4b169c48c8b02f9e,https://doi.org/10.1002/asi.23365,http://nlp.uned.es/~juaner/papers/juaner-jasist-2016.pdf
adb68da6-d623-46e6-a68d-cb0c78569658,eb82d3035849cd23578096462ba419b53198a556,The PageRank Citation Ranking : Bringing Order to the Web,https://www.semanticscholar.org/paper/eb82d3035849cd23578096462ba419b53198a556,,http://www.eecs.harvard.edu/~michaelm/CS222/pagerank.pdf;http://storm.cis.fordham.edu/~gweiss/selected-papers/classic-pagerank-paper.pdf;http://www.csd.uwo.ca/courses/CS9668a/notes/pagerank.pdf;http://www.intelligence.tuc.gr/~petrakis/courses/multimedia/papers/pageranksub.pdf
47dfc1c7-8a74-47b7-8f3c-10783e2f721b,f280c160c1c749727b905b56364bb2d764b35629,Clustering to Find Exemplar Terms for Keyphrase Extraction,https://www.semanticscholar.org/paper/f280c160c1c749727b905b56364bb2d764b35629,https://doi.org/10.3115/1699510.1699544,https://www.aclweb.org/anthology/D09-1027.pdf;http://aclweb.org/anthology//D/D09/D09-1027.pdf;http://nlp.csai.tsinghua.edu.cn/~lzy/publications/emnlp2009.pdf
77c4043a-1b88-4852-88b2-9994130f023e,f7fe3f870ef5e1a74600c8808c07732cd2e5142d,Graph-Based Keyword Extraction for Single-Document Summarization,https://www.semanticscholar.org/paper/f7fe3f870ef5e1a74600c8808c07732cd2e5142d,https://doi.org/10.3115/1613172.1613178,https://www.aclweb.org/anthology/W08-1404.pdf;http://aclweb.org/anthology/W/W08/W08-1404.pdf
0d2c02bf-eece-4eba-9621-8128c107fcc4,ff30cca624b6a64d561310f564873a63fb413ef1,Keyword and Keyphrase Extraction Using Centrality Measures on Collocation Networks,https://www.semanticscholar.org/paper/ff30cca624b6a64d561310f564873a63fb413ef1,,https://arxiv.org/pdf/1401.6571.pdf
ee8ca0e3-c563-4ffc-8a9b-f6817c85f86a,00dc2bd799a58aa1631d7e5a27c1f4c5ff315030,Approximate Matching for Evaluating Keyphrase Extraction,https://www.semanticscholar.org/paper/00dc2bd799a58aa1631d7e5a27c1f4c5ff315030,,https://www.aclweb.org/anthology/R09-1086.pdf;http://aclweb.org/anthology//R/R09/R09-1086.pdf;http://atlas.tk.informatik.tu-darmstadt.de/Publications/2009/ranlp09_camera_ready.pdf
6d09df25-d37e-44e2-8f90-bcacdeb51380,1cf65a8c9e9ac8bd1db487004185ad0e15b9b9dd,Keyphrase Extraction in Scientific Publications,https://www.semanticscholar.org/paper/1cf65a8c9e9ac8bd1db487004185ad0e15b9b9dd,https://doi.org/10.1007/978-3-540-77094-7_41,http://www.comp.nus.edu.sg/~kanmy/papers/icadl2007.pdf;http://www.comp.nus.edu.sg/~kanmy/dossier/papers/icadl2007.pdf
5d27aad7-aa4c-4ba3-85af-2896127409f9,1ebb9b20a7477a0498449968f04fffee7d8165f7,Thesaurus based automatic keyphrase indexing,https://www.semanticscholar.org/paper/1ebb9b20a7477a0498449968f04fffee7d8165f7,https://doi.org/10.1145/1141753.1141819,https://researchcommons.waikato.ac.nz/bitstream/10289/1345/1/06-OM-IHW-Thesaurus-auto-keyphrase.pdf;http://www.cs.waikato.ac.nz/~ihw/papers/06-OM-IHW-Thesaurus-auto-keyphrase.pdf
8b575b81-6bb2-4485-8a40-ae42477000c3,228bad0fb34135758e80539a5d8463b2820dcb98,Finding topic words for hierarchical summarization,https://www.semanticscholar.org/paper/228bad0fb34135758e80539a5d8463b2820dcb98,https://doi.org/10.1145/383952.384022,http://www.cs.loyola.edu/~lawrie/papers/lawrie-sigir01.pdf
eb883ea1-93ab-40e6-ae62-05bff7fb5fdb,26324601f7c25430adbbeec931b28cf11b2dbe81,Using Noun Phrase Heads to Extract Document Keyphrases,https://www.semanticscholar.org/paper/26324601f7c25430adbbeec931b28cf11b2dbe81,https://doi.org/10.1007/3-540-45486-1_4,https://sci.bban.top/pdf/10.1007/3-540-45486-1_4.pdf#view=FitH;https://sci-hub.sehttps://moscow.sci-hub.se/3508/1058858ce8669eb3a71f234f53e547ae/barker2000.pdf#navpanes=0&view=FitH;https:https://zero.sci-hub.st/3508/1058858ce8669eb3a71f234f53e547ae/barker2000.pdf#navpanes=0&view=FitH
8d752424-a581-40de-a43f-651e28b9711d,2d7f212d9251afc479d9a67570d5e0a5b4337d04,Domain-specific keyphrase extraction,https://www.semanticscholar.org/paper/2d7f212d9251afc479d9a67570d5e0a5b4337d04,https://doi.org/10.1145/1099554.1099628,https://web.njit.edu/~wu/research/Software/KIP/Papers/KIP_CIKM.pdf;http://www.researchgate.net/profile/Yi-Fang_Wu/publication/221614075_Domain-specific_keyphrase_extraction/links/00463515d7fc8e4883000000.pdf
